# audit-baseline.tsv -- accepted stage-1 audit findings.
#
# Format: <check>\t<key>\t<justification>, read by scripts/audit-check.sh.
# Keys are line-independent, so a row keeps covering its finding when the
# code around it moves. Every row needs a justification: the scanner exits
# 2 on an empty one, because an unjustified baseline row cannot be told
# apart from a silent suppression.
#
# This file is the pre-existing debt recorded when the scanner landed
# (issue #133) and widened (#146/#157). Nothing here is "fine"; it is
# "known, and not fixed by the change that added or widened the gate". Rows tagged stage 2 are candidates for
# docs/AUDIT_SWEEP.md's audit pass, which owns behaviour verdicts -- stage
# 1 produces a candidate list, not verdicts. Delete a row when its finding
# is fixed; the gate then keeps it fixed.
#
# To regenerate after a deliberate change:  scripts/audit-check.sh --update-baseline
matrix-drift	docs/specs/cat-flags.md::-l	POSIX -l is accepted and ignored; resolve with src/cat.zig::ignored_l. Stage 2 implement-vs-decline.
matrix-drift	docs/specs/cat-flags.md::-u	POSIX -u is accepted and ignored; resolve with src/cat.zig::ignored_u. Stage 2 implement-vs-decline.
matrix-drift	docs/specs/chmod-flags.md::--dereference	chmod --dereference is parsed and unused; resolve with src/chmod.zig::dereference (#157 .short=0).
matrix-drift	docs/specs/chmod-flags.md::--no-preserve-root	chmod --no-preserve-root is parsed and unused; resolve with src/chmod.zig::no_preserve_root (#157 .short=0).
matrix-drift	docs/specs/chmod-flags.md::-C	macOS ACL -C is parsed and unused; resolve with src/chmod.zig::acl_check.
matrix-drift	docs/specs/chmod-flags.md::-E	macOS ACL -E is parsed and unused; resolve with src/chmod.zig::acl_stdin.
matrix-drift	docs/specs/chmod-flags.md::-I	macOS ACL -I is parsed and unused; resolve with src/chmod.zig::acl_remove_all_inherited.
matrix-drift	docs/specs/chmod-flags.md::-N	macOS ACL -N is parsed and unused; resolve with src/chmod.zig::acl_remove.
matrix-drift	docs/specs/chmod-flags.md::-i	macOS ACL -i is parsed and unused; resolve with src/chmod.zig::acl_remove_inherited.
matrix-drift	docs/specs/chown-flags.md::--dereference	chown --dereference is parsed and unused; resolve with src/chown.zig::dereference (#157 .short=0).
matrix-drift	docs/specs/chown-flags.md::--no-preserve-root	chown --no-preserve-root is parsed and unused; resolve with src/chown.zig::no_preserve_root (#157 .short=0).
matrix-drift	docs/specs/cp-flags.md::-c	macOS clonefile -c is parsed and unused; resolve with src/cp.zig::clone.
matrix-drift	docs/specs/du-flags.md::-H	du -H is parsed and unused; resolve with src/du.zig::dereference_args.
matrix-drift	docs/specs/du-flags.md::-I	du -I is parsed and unused; resolve with src/du.zig::ignore_pattern.
matrix-drift	docs/specs/du-flags.md::-L	du -L is parsed and unused; resolve with src/du.zig::dereference.
matrix-drift	docs/specs/du-flags.md::-P	du -P is parsed and unused; resolve with src/du.zig::no_dereference.
matrix-drift	docs/specs/du-flags.md::-n	du -n is parsed and unused; resolve with src/du.zig::no_follow.
matrix-drift	docs/specs/du-flags.md::-r	du -r is parsed and unused; resolve with src/du.zig::report_errors.
matrix-drift	docs/specs/free-flags.md::-k	free -k is parsed and unused; resolve with src/free.zig::kibi.
matrix-drift	docs/specs/id-flags.md::-a	POSIX id -a is accepted and ignored; resolve with src/id.zig::all.
matrix-drift	docs/specs/ls-flags.md::-%	ls -% (SIP) is parsed and unused; resolve with src/ls/main.zig::show_sip (#157).
matrix-drift	docs/specs/ls-flags.md::-@	ls -@ (xattrs) is parsed and unused; resolve with src/ls/main.zig::show_xattrs (#157).
matrix-drift	docs/specs/ls-flags.md::-D	ls -D (dired) is parsed and unused; resolve with src/ls/main.zig::dired (#157).
matrix-drift	docs/specs/ls-flags.md::-O	ls -O (file flags) is parsed and unused; resolve with src/ls/main.zig::show_file_flags (#157).
